timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-06-19,90.56,97.87,89.81,96.62,2.987,3517900,0.0,1.0
2000-06-20,98.5,103.94,98.37,101.25,3.1302,4476700,0.0,1.0
2000-06-21,50.5,56.94,50.31,55.63,3.4396,4375000,0.0,2.0
2000-06-22,55.75,57.63,53.56,53.75,3.3234,8352000,0.0,1.0
2000-06-23,53.78,54.63,50.81,51.69,3.196,3660100,0.0,1.0
2000-06-26,52.5,54.75,52.13,54.13,3.3469,3309900,0.0,1.0
2000-06-27,53.78,55.5,51.63,51.75,3.1997,3633400,0.0,1.0
2000-06-28,53.31,55.38,51.5,54.44,3.3661,5114800,0.0,1.0
2000-06-29,53.06,53.94,51.06,51.25,3.1688,3636800,0.0,1.0
2000-06-30,52.81,54.94,51.69,52.38,3.2387,5769600,0.0,1.0
2000-07-03,52.13,54.31,52.13,53.31,3.2962,1264800,0.0,1.0
2000-07-05,53.25,55.19,50.75,51.63,3.1923,4736000,0.0,1.0
2000-07-06,52.5,52.94,49.63,51.81,3.2034,5527600,0.0,1.0
2000-07-07,52.59,54.81,52.13,54.44,3.3661,4707200,0.0,1.0
2000-07-10,54.09,58.25,53.75,57.13,3.5324,7103500,0.0,1.0
2000-07-11,57.0,59.25,55.44,56.94,3.5206,6391000,0.0,1.0
2000-07-12,58.13,58.94,56.38,58.88,3.6406,4025600,0.0,1.0
2000-07-13,58.5,60.63,54.75,56.5,3.4934,7958200,0.0,1.0
2000-07-14,57.13,59.0,56.88,57.69,3.567,3397800,0.0,1.0
2000-07-17,58.25,58.81,57.13,58.31,3.6053,4642900,0.0,1.0
2000-07-18,58.5,58.88,56.88,57.25,3.5398,5685800,0.0,1.0
2000-07-19,55.19,56.81,51.75,52.69,3.2579,8176300,0.0,1.0
2000-07-20,55.0,57.06,54.13,55.13,3.4087,8313800,0.0,1.0
2000-07-21,54.36,55.63,52.94,53.56,3.3116,3504200,0.0,1.0
2000-07-24,52.56,52.88,47.5,48.69,3.0105,7360200,0.0,1.0
2000-07-25,50.31,50.63,49.06,50.06,3.0952,3778700,0.0,1.0
2000-07-26,49.84,51.25,49.25,50.06,3.0952,3758400,0.0,1.0
2000-07-27,50.0,53.25,49.88,52.0,3.2152,5267600,0.0,1.0
2000-07-28,52.28,52.5,46.88,48.31,2.987,4248100,0.0,1.0
2000-07-31,49.16,51.63,48.75,50.81,3.1416,2773200,0.0,1.0
2000-08-01,50.31,51.16,49.25,49.31,3.0489,2451500,0.0,1.0
2000-08-02,49.0,49.94,47.19,47.25,2.9215,2899200,0.0,1.0
2000-08-03,45.56,48.06,44.25,48.0,2.9679,6069600,0.0,1.0
2000-08-04,49.47,51.25,46.31,47.38,2.9295,4698600,0.0,1.0
2000-08-07,47.88,49.06,47.19,47.94,2.9642,3345500,0.0,1.0
2000-08-08,47.94,48.0,46.31,46.75,2.8906,3154900,0.0,1.0
2000-08-09,48.13,48.44,47.25,47.5,2.937,6779300,0.0,1.0
2000-08-10,48.0,48.44,47.38,47.56,2.9407,4494900,0.0,1.0
2000-08-11,46.84,48.0,45.56,47.69,2.9487,4251000,0.0,1.0
2000-08-14,47.59,47.69,46.31,47.06,2.9097,2797500,0.0,1.0
2000-08-15,47.25,47.94,46.5,46.69,2.8869,2039300,0.0,1.0
2000-08-16,46.88,49.0,46.81,48.5,2.9988,2565600,0.0,1.0
2000-08-17,48.38,52.44,48.31,51.44,3.1806,4837500,0.0,1.0
2000-08-18,51.38,51.81,49.88,50.0,3.0915,3396000,0.0,1.0
2000-08-21,50.25,51.56,49.63,50.5,3.1224,2401200,0.0,1.0
2000-08-22,50.63,52.81,50.38,51.69,3.196,4942900,0.0,1.0
2000-08-23,51.47,54.75,51.06,54.31,3.358,4229700,0.0,1.0
2000-08-24,54.67,56.63,53.38,56.11,3.4693,5549400,0.0,1.0
2000-08-25,56.5,57.5,56.38,56.81,3.5126,5972500,0.0,1.0
2000-08-28,57.25,59.0,57.06,58.06,3.5899,6410800,0.0,1.0
2000-08-29,57.88,59.44,57.69,59.19,3.6597,4768400,0.0,1.0
